                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.386,                 1.9078,                0.97075,                0.60437,                0.10021,                0.09889,                0.07772,                 1.1139,                 2.7762,                0.63385,                0.00024,                0.00024,                0.00024
                      2,                  1.335,                 1.5406,                0.97595,                0.67853,                0.03356,                0.03462,                0.02782,                 1.1254,                  2.966,                0.64325,             0.00048515,             0.00048515,             0.00048515
                      3,                 1.2468,                 1.4356,                0.95966,                 0.3425,                0.03617,                0.03951,                0.03263,                 1.1215,                 2.6056,                0.64249,             0.00072535,             0.00072535,             0.00072535
                      4,                 1.2704,                 1.3362,                0.97402,                0.39719,                0.01968,                0.02036,                0.01393,                 1.0883,                 2.3418,                0.63111,              0.0009606,              0.0009606,              0.0009606
                      5,                 1.1619,                 1.2697,                0.92163,                0.11221,                0.01659,                0.01969,                0.01646,                 1.0758,                 2.2352,                0.62948,              0.0011909,              0.0011909,              0.0011909
                      6,                 1.2617,                  1.232,                0.96138,                0.14864,                0.02716,                0.02822,                0.01939,                 1.0802,                 2.1174,                0.62613,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.1784,                 1.2209,                0.94388,                0.14993,                0.03067,                0.02702,                0.01863,                 1.0572,                  2.024,                0.62076,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.1879,                 1.1505,                0.92633,                0.14064,                0.01707,                0.02785,                0.01896,                 1.0617,                 2.0199,                0.62245,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1844,                  1.154,                 0.9352,                0.26407,                0.04744,                0.04407,                0.03291,                 1.0426,                 1.9385,                 0.6205,               0.001151,               0.001151,               0.001151
                     10,                 1.1443,                 1.1057,                0.92805,                 0.2537,                0.05363,                0.05039,                0.03494,                 1.0729,                 1.9659,                0.62527,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.1647,                 1.0987,                0.93282,                0.25018,                0.05036,                0.04797,                0.03469,                 1.0802,                 1.9117,                0.62941,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1694,                 1.1118,                0.93698,                0.18352,                0.01862,                0.02703,                0.01796,                 1.0356,                 1.8587,                0.61409,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1391,                 1.0698,                0.91945,                0.46375,                0.04389,                0.05306,                0.03543,                 1.0416,                 1.8938,                0.61588,              0.0011015,              0.0011015,              0.0011015
                     14,                  1.112,                 1.0305,                0.89693,                0.74886,                0.03665,                0.04678,                 0.0361,                 1.0639,                 1.8404,                0.61827,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1324,                  1.073,                0.90951,                0.19478,                0.03031,                0.03066,                0.01916,                 1.0462,                   1.79,                0.61778,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1179,                 1.0365,                0.91746,                 0.2319,                0.05509,                0.05955,                0.04151,                 1.0422,                 1.7718,                0.61622,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1669,                 1.0598,                0.90056,                0.53872,                0.03096,                0.03246,                0.02262,                  1.052,                  1.889,                0.61654,               0.001052,               0.001052,               0.001052
                     18,                  1.114,                 1.0285,                0.91826,                0.31097,                0.02787,                 0.0313,                0.02334,                 1.0529,                    1.9,                0.61328,              0.0010396,              0.0010396,              0.0010396
