                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4022,                 5.2587,                0.93616,                0.00041,                0.01745,                0.00283,                0.00223,                  1.219,                 7.6631,                0.57119,             0.00024419,             0.00024419,             0.00024419
                      2,                 1.3539,                 3.4969,                0.88624,                0.28052,                0.01772,                0.03938,                0.02761,                 1.1138,                 5.7323,                0.57349,             0.00048929,             0.00048929,             0.00048929
                      3,                 1.2678,                 2.8005,                0.88691,                0.53381,                0.04672,                0.05208,                0.03805,                 1.1173,                  3.206,                0.58251,             0.00072945,             0.00072945,             0.00072945
                      4,                 1.2472,                 2.3755,                0.90219,                0.76684,                0.06654,                0.06974,                0.05154,                 1.0625,                  1.997,                0.58119,             0.00096466,             0.00096466,             0.00096466
                      5,                 1.1562,                 1.9574,                0.88638,                0.72575,                 0.0723,                0.07461,                0.05494,                 1.1127,                 1.9174,                0.58371,              0.0011949,              0.0011949,              0.0011949
                      6,                  1.135,                 1.7518,                0.87301,                 0.6602,                0.04565,                0.04713,                 0.0326,                0.97284,                 1.7973,                0.56963,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.1569,                 1.5617,                 0.8786,                 0.6889,                0.02298,                0.02882,                 0.0236,                 1.0008,                 1.6832,                0.57254,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.1141,                 1.4016,                0.88224,                0.84834,                0.02298,                0.03113,                0.02617,                0.97982,                 1.6387,                0.56997,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0914,                 1.3045,                0.86517,                0.36033,                0.04262,                0.05724,                 0.0462,                0.92962,                 1.5789,                0.56389,               0.001151,               0.001151,               0.001151
                     10,                 1.0821,                 1.2062,                 0.8557,                 0.7452,                0.02682,                0.03382,                0.02676,                 1.0285,                 1.6139,                0.57228,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0772,                 1.1322,                0.87032,                0.81936,                0.02298,                0.02584,                 0.0199,                0.98817,                 1.5103,                0.57043,              0.0011263,              0.0011263,              0.0011263
                     12,                  1.031,                 1.0224,                 0.8553,                 0.6255,                0.06934,                0.07076,                0.04998,                0.98246,                 1.4335,                0.56549,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.0116,                 1.0079,                0.86255,                0.46892,                0.07198,                0.07841,                0.06228,                0.90424,                 1.4247,                0.55635,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.0574,                0.99017,                0.85976,                0.69164,                 0.1622,                0.16624,                0.12055,                0.89024,                 1.3837,                0.55646,              0.0010891,              0.0010891,              0.0010891
                     15,                  1.026,                0.92408,                0.85696,                0.66984,                0.17375,                0.17424,                0.12703,                0.87462,                  1.415,                0.55272,              0.0010768,              0.0010768,              0.0010768
                     16,                0.95089,                0.86416,                0.85262,                0.62477,                0.27184,                0.26551,                0.19412,                0.94042,                 1.3936,                0.55938,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.0254,                0.86806,                0.85525,                 0.7419,                0.19843,                0.20658,                0.15146,                0.98826,                 1.4154,                0.56651,               0.001052,               0.001052,               0.001052
                     18,                 1.0076,                0.83642,                0.85753,                0.76825,                0.30504,                0.28492,                0.21147,                0.90598,                 1.3181,                0.55643,              0.0010396,              0.0010396,              0.0010396
                     19,                  1.003,                0.82666,                0.85172,                0.69114,                 0.2852,                0.25924,                0.19105,                0.90997,                 1.2758,                0.55721,              0.0010273,              0.0010273,              0.0010273
                     20,                0.98909,                0.79948,                0.84489,                 0.7579,                0.48315,                  0.436,                0.29895,                0.98105,                 1.3342,                0.55908,              0.0010149,              0.0010149,              0.0010149
                     21,                0.97072,                0.77161,                0.84716,                0.72076,                0.61223,                0.55372,                0.40685,                0.84935,                 1.3048,                0.54863,              0.0010025,              0.0010025,              0.0010025
                     22,                0.95791,                0.75467,                0.83204,                0.74675,                0.54777,                0.49751,                0.36035,                0.88632,                  1.268,                0.55479,             0.00099013,             0.00099013,             0.00099013
                     23,                 0.9955,                0.77847,                0.84572,                0.67985,                0.48136,                0.41705,                 0.2951,                0.94204,                 1.2778,                0.56162,             0.00097775,             0.00097775,             0.00097775
                     24,                0.95682,                0.72643,                0.83862,                0.72852,                0.54196,                0.47985,                0.33555,                0.91256,                   1.28,                0.55542,             0.00096537,             0.00096537,             0.00096537
                     25,                0.94198,                0.72659,                0.84384,                0.70651,                0.62528,                0.55328,                0.39735,                0.86676,                  1.278,                0.55228,               0.000953,               0.000953,               0.000953
                     26,                0.94546,                0.69577,                0.84257,                0.73478,                0.52547,                0.47499,                0.35051,                0.88459,                 1.2031,                0.55406,             0.00094062,             0.00094062,             0.00094062
                     27,                0.89889,                0.68545,                0.83531,                0.69871,                0.64778,                 0.5649,                0.40218,                0.87856,                 1.1919,                0.54978,             0.00092825,             0.00092825,             0.00092825
                     28,                0.90203,                0.67717,                0.84249,                0.69885,                0.62038,                0.55162,                0.39194,                0.87251,                 1.2365,                0.55155,             0.00091588,             0.00091588,             0.00091588
                     29,                0.94352,                0.70312,                0.83599,                0.73891,                0.60614,                0.55435,                0.39815,                0.89666,                 1.1903,                0.55319,              0.0009035,              0.0009035,              0.0009035
                     30,                0.92712,                0.66807,                0.83655,                0.72569,                0.62228,                0.55423,                 0.3989,                 0.8628,                 1.1994,                0.54859,             0.00089112,             0.00089112,             0.00089112
